Lijst 11 – Piratenpartij


De Piratenpartij heeft voor alle kieskringen dezelfde kandidatenlijst ingediend.
De kandidatenlijst is voor kieskring 20 (Bonaire) is door het hoofdstembureau ongeldig
verklaard, omdat in deze kieskring onvoldoende ondersteuningsverklaringen zijn ingeleverd.

Dit betekent dat deze partij voor de kieskringen 1 t/m 19, dus met uitzondering van Caribisch
Nederland, deelneemt aan de Tweede Kamerverkiezing op 12 september 2012 met de
volgende kandidaten:


Nr       Naam                                             Woonplaats
1        Poot, D. (Dirk) (m)                              Hoeven
2        Palic, D. (Danny) (m)                            Hilversum
3        van Doorn, R.A.A. (Rodger) (m)                   Zandvoort
4        Lesparre, P.J.F. (Patriek) (m)                   Almere
5        Bethlehem, C. (Catharina) (v)                    Medemblik
6        van Deijk, D.D. (David) (m)                      Eindhoven
7        Moretti, R.A.A.J. (Roberto) (m)                  Voerendaal
8        Hopmans, J.W. (Jan) (m)                          Breda
9        Hallegraeff, D.S. (Dylan) (m)                    's-Gravenhage
10       Jansen, M.A. (Mark) (m)                          Utrecht
11       Allioui, S. (Samir) (m)                          Zwolle
